Pathogen Species,GA,species,GA,size,gc,genes
Ostrich orthoreovirus Ost1,0,Ostrich orthoreovirus Ost1,,,,
Ostrich parvovirus,,Ostrich parvovirus,,,,
Otus scops CRESS-DNA-virus sp.,,Otus scops CRESS-DNA-virus sp.,,,,
Otus scops parvoviridae sp.,,Otus scops parvoviridae sp.,,,,
Ousland virus,0,Ousland virus,,,,
Owl adenovirus,,Owl adenovirus,GCA_031258635.1,40551.0,49,28
Owl adenovirus Aichi10341,,Owl adenovirus Aichi10341,,,,
Pacific black duck aalivirus,,Pacific black duck aalivirus,,,,
Pacific black duck adeno-associated virus,,Pacific black duck adeno-associated virus,,,,
Pacific black duck anativirus-like virus,,Pacific black duck anativirus-like virus,,,,
Pacific black duck astrovirus,,Pacific black duck astrovirus,,,,
Pacific black duck aveparvovirus,,Pacific black duck aveparvovirus,,,,
Pacific black duck aviadenovirus,,Pacific black duck aviadenovirus,,,,
Pacific black duck calicivirus,,Pacific black duck calicivirus,,,,
Pacific black duck chaphamaparvovirus,,Pacific black duck chaphamaparvovirus,,,,
Pacific black duck chaphamaparvovirus 1,,Pacific black duck chaphamaparvovirus 1,GCF_029885275.1,4323.0,39,4
Pacific black duck megrivirus,,Pacific black duck megrivirus,,,,
Pacific black duck orthoreovirus,,Pacific black duck orthoreovirus,,,,
Pacific black duck sicinivirus-like virus,,Pacific black duck sicinivirus-like virus,,,,
Palmer virus,0,Palmer virus,,,,
Papillomavirus luscinia7441,,Papillomavirus luscinia7441,,,,
Papillomavirus numida8051,,Papillomavirus numida8051,,,,
Paraavulavirus hongkongense,GCF_002815175.1,Paraavulavirus hongkongense,GCF_002815175.1,15054.0,47,6
Paraavulavirus wisconsinense,GCF_000927055.1,Paraavulavirus wisconsinense,GCF_000927055.1,16182.0,42,6
Paramecium bursaria Chlorella virus,,Paramecium bursaria Chlorella virus,,,,
Parechovirus B,0,Parechovirus B,,,,
Parechovirus E,0,Parechovirus E,,,,
Parrot coronavirus AV71/99,0,Parrot coronavirus AV71/99,,,,
Parrot hepatitis B virus,GCF_000895735.1,Parrot hepatitis B virus,GCF_000895735.1,3048.0,41.5,5
Partitiviridae sp.,,Partitiviridae sp.,GCA_031323215.1,3505.0,48.5,
Parus major parvoviridae sp.,,Parus major parvoviridae sp.,,,,
Parvoviridae sp.,GCF_003389895.1,Parvoviridae sp.,GCF_003389895.1,4305.0,38,2
Parvovirus AC-2012,0,Parvovirus AC-2012,,,,
Parvovirus AH0225,0,Parvovirus AH0225,,,,
Parvovirus NIH-CQV,0,Parvovirus NIH-CQV,GCF_000910875.1,3780.0,46,3
Parvovirus USP336-5/Brazil/2009,0,Parvovirus USP336-5/Brazil/2009,,,,
Parvovirus USP336-7/Brazil/2009,0,Parvovirus USP336-7/Brazil/2009,,,,
Parvovirus USP369-D/Brazil/2009,0,Parvovirus USP369-D/Brazil/2009,,,,
Parvovirus USP369-E/Brazil/2009,0,Parvovirus USP369-E/Brazil/2009,,,,
Parvovirus USP371-1/Brazil/2009,0,Parvovirus USP371-1/Brazil/2009,,,,
Parvovirus USP371-4/Brazil/2009,0,Parvovirus USP371-4/Brazil/2009,,,,
Parvovirus USP391-2/Brazil/2009,0,Parvovirus USP391-2/Brazil/2009,,,,
Parvovirus USP400-2B/Brazil/2010,0,Parvovirus USP400-2B/Brazil/2010,,,,
Parvovirus USP400-4B/Brazil/2010,0,Parvovirus USP400-4B/Brazil/2010,,,,
Parvovirus USP400-8A/Brazil/2010,0,Parvovirus USP400-8A/Brazil/2010,,,,
Parvovirus USP400-9A/Brazil/2010,0,Parvovirus USP400-9A/Brazil/2010,,,,
Parvovirus anas3568,,Parvovirus anas3568,,,,
Parvovirus anser6071,,Parvovirus anser6071,,,,
Parvovirus anser6262,,Parvovirus anser6262,,,,
Parvovirus anser7324,,Parvovirus anser7324,,,,
Parvovirus anser7825,,Parvovirus anser7825,,,,
Parvovirus chalcites3867,,Parvovirus chalcites3867,,,,
Parvovirus chrysococcyx3867a,,Parvovirus chrysococcyx3867a,,,,
Parvovirus emberiza5140,,Parvovirus emberiza5140,,,,
Parvovirus emberiza5276,,Parvovirus emberiza5276,,,,
Parvovirus emberiza6660,,Parvovirus emberiza6660,,,,
Parvovirus emberiza7086,,Parvovirus emberiza7086,,,,
Parvovirus grus5099,,Parvovirus grus5099,,,,
Parvovirus grus5877,,Parvovirus grus5877,,,,
Parvovirus grus5942,,Parvovirus grus5942,,,,
Parvovirus laniidae3881,,Parvovirus laniidae3881,,,,
Parvovirus lanius6615,,Parvovirus lanius6615,,,,
Parvovirus larvivora5808,,Parvovirus larvivora5808,,,,
Parvovirus leiothrix3317,,Parvovirus leiothrix3317,,,,
Parvovirus leiothrix4587,,Parvovirus leiothrix4587,,,,
Parvovirus luscinia5410,,Parvovirus luscinia5410,,,,
Parvovirus luscinia6815,,Parvovirus luscinia6815,,,,
Parvovirus numida6704,,Parvovirus numida6704,,,,
Parvovirus partridge/PA147/ITA/2008,0,Parvovirus partridge/PA147/ITA/2008,,,,
Parvovirus phasianus6595,,Parvovirus phasianus6595,,,,
Parvovirus phoenicopterus3947,,Parvovirus phoenicopterus3947,,,,
Parvovirus phoenicurus12233s1,,Parvovirus phoenicurus12233s1,,,,
Parvovirus phoenicurus12233s2,,Parvovirus phoenicurus12233s2,,,,
Parvovirus phoenicurus4436,,Parvovirus phoenicurus4436,,,,
Parvovirus phylloscopus4927,,Parvovirus phylloscopus4927,,,,
Parvovirus phylloscopus5247,,Parvovirus phylloscopus5247,,,,
Parvovirus phylloscopus5401s1,,Parvovirus phylloscopus5401s1,,,,
Parvovirus phylloscopus5401s2,,Parvovirus phylloscopus5401s2,,,,
Parvovirus steptopelia4906,,Parvovirus steptopelia4906,,,,
Parvovirus steptopelia5095,,Parvovirus steptopelia5095,,,,
Parvovirus streptopelia4404,,Parvovirus streptopelia4404,,,,
Parvovirus sylvia4828,,Parvovirus sylvia4828,,,,
Parvovirus turdus4154,,Parvovirus turdus4154,,,,
Parvovirus turdus6774,,Parvovirus turdus6774,,,,
Parvovirus zapornia4554,,Parvovirus zapornia4554,,,,
Parvovirus zonotrichia4755,,Parvovirus zonotrichia4755,,,,
Paslahepevirus balayani,GCF_023120345.1,Paslahepevirus balayani,GCF_023120345.1,6660.0,51.5,3
Passer domesticus herpesvirus,,Passer domesticus herpesvirus,,,,
Passer montanus parvoviridae sp.,,Passer montanus parvoviridae sp.,,,,
Passer montanus pegivirus,,Passer montanus pegivirus,GCA_031246775.1,10916.0,57.5,
Passerid herpesvirus 1,0,Passerid herpesvirus 1,,,,
Passerine adenovirus 1,,Passerine adenovirus 1,GCA_031236175.1,39644.0,53.5,
Passerine astrovirus 1,0,Passerine astrovirus 1,GCA_031190705.1,6745.0,47.5,3
Passerine astrovirus 2,0,Passerine astrovirus 2,GCA_031190715.1,6864.0,43.5,3
Passerine astrovirus 3,0,Passerine astrovirus 3,GCA_031190725.1,6628.0,42,3
Passerine astrovirus 4,0,Passerine astrovirus 4,GCA_031190735.1,6870.0,42,3
Passerivirus A,GCF_000890055.1,Passerivirus A,GCF_000890055.1,8035.0,58,1
Pavo cristatus CRESS-DNA-virus sp.,,Pavo cristatus CRESS-DNA-virus sp.,,,,
Pavo cristatus parvo-like hybrid virus,,Pavo cristatus parvo-like hybrid virus,,,,
Pavo cristatus parvoviridae sp.,,Pavo cristatus parvoviridae sp.,,,,
Pelican hepacivirus,,Pelican hepacivirus,,,,
Penguin herpesvirus 1,0,Penguin herpesvirus 1,,,,
Penguin herpesvirus 2,0,Penguin herpesvirus 2,,,,
Penguin siadenovirus A,GCF_001646375.1,Penguin siadenovirus A,GCF_001646375.1,24662.0,35.5,22
Penguinpox virus,GCF_000923135.1,Penguinpox virus,GCF_000923135.1,306862.0,29.5,284
Penguinpox virus 2,,Penguinpox virus 2,GCA_031242905.1,349821.0,30,
Periparus ater CRESS-DNA-virus sp.,,Periparus ater CRESS-DNA-virus sp.,,,,
Periparus ater Circoviridae sp.,,Periparus ater Circoviridae sp.,,,,
Periparus ater Ichthamaparvovirus,,Periparus ater Ichthamaparvovirus,,,,
Periparus ater parvoviridae sp.,,Periparus ater parvoviridae sp.,,,,
Pernambuco mycovirus 1,0,Pernambuco mycovirus 1,,,,
Pernambuco nodavirus,0,Pernambuco nodavirus,,,,
Pernambuco virus,0,Pernambuco virus,,,,
Petrov virus,0,Petrov virus,,,,
Phacovirus BY/PhV,0,Phacovirus BY/PhV,,,,
Phacovirus CAB/PhV,0,Phacovirus CAB/PhV,,,,
Phacovirus DM/PhV,0,Phacovirus DM/PhV,,,,
Phacovirus GT/PhV,0,Phacovirus GT/PhV,,,,
Phacovirus NG/PhV,0,Phacovirus NG/PhV,,,,
Phacovirus TR/PhV,0,Phacovirus TR/PhV,,,,
Phacovirus VG/PhV,0,Phacovirus VG/PhV,,,,
Phacovirus sp.,0,Phacovirus sp.,,,,
Phapecoctavirus TSP7,GCF_018642085.1,Phapecoctavirus TSP7,GCF_018642085.1,150892.0,39,280
Phasianid herpesvirus 1,0,Phasianid herpesvirus 1,,,,
Phasianus chaphamaparvovirus,,Phasianus chaphamaparvovirus,,,,
Pheasant-associated gyrovirus,,Pheasant-associated gyrovirus,GCA_031310715.1,2353.0,51.5,
Phlebovirus arumowotense,0,Phlebovirus arumowotense,,,,
Phlebovirus toscanaense,0,Phlebovirus toscanaense,,,,
Phoenicopterid herpesvirus 1,0,Phoenicopterid herpesvirus 1,,,,
Phoenicopteridae CRESS-DNA-virus sp.,,Phoenicopteridae CRESS-DNA-virus sp.,,,,
Phoenicopteridae parvo-like hybrid virus,,Phoenicopteridae parvo-like hybrid virus,,,,
Phoenicopteridae parvoviridae sp.,,Phoenicopteridae parvoviridae sp.,,,,
Phoenicopterus roseus CRESS-DNA-virus sp.,,Phoenicopterus roseus CRESS-DNA-virus sp.,,,,
Phoenicopterus roseus parvo-like hybrid virus,,Phoenicopterus roseus parvo-like hybrid virus,,,,
Phoenicurus auroreus CRESS-DNA-virus sp.,,Phoenicurus auroreus CRESS-DNA-virus sp.,,,,
Phoenicurus auroreus parvoviridae sp.,,Phoenicurus auroreus parvoviridae sp.,,,,
Phylloscopus fuscatus CRESS-DNA-virus sp.,,Phylloscopus fuscatus CRESS-DNA-virus sp.,,,,
Phylloscopus fuscatus Ichthamaparvovirus,,Phylloscopus fuscatus Ichthamaparvovirus,,,,
Phylloscopus fuscatus parvoviridae sp.,,Phylloscopus fuscatus parvoviridae sp.,,,,
Phylloscopus inornatus parvoviridae sp.,,Phylloscopus inornatus parvoviridae sp.,,,,
Phylloscopus parvoviridae sp.,,Phylloscopus parvoviridae sp.,,,,
Phylloscopus proregulus Brevihamaparvovirus,,Phylloscopus proregulus Brevihamaparvovirus,,,,
Phylloscopus proregulus Ichthamaparvovirus,,Phylloscopus proregulus Ichthamaparvovirus,,,,
Phylloscopus proregulus parvoviridae sp.,,Phylloscopus proregulus parvoviridae sp.,,,,
Phylloscopus schwarzi parvoviridae sp.,,Phylloscopus schwarzi parvoviridae sp.,,,,
Phylloscopus tenellipes CRESS-DNA-virus sp.,,Phylloscopus tenellipes CRESS-DNA-virus sp.,,,,
Picobirnaviridae sp. gcode 3,,Picobirnaviridae sp. gcode 3,,,,
Picobirnavirus GI/PBV/turkey/USA/MN-1/2011,0,Picobirnavirus GI/PBV/turkey/USA/MN-1/2011,,,,
Picobirnavirus HK-2014,0,Picobirnavirus HK-2014,,,,
Picobirnavirus sp.,,Picobirnavirus sp.,GCF_004117395.1,4297.0,40.5,4
Picobirnavirus turkey/USA-1507/2010,0,Picobirnavirus turkey/USA-1507/2010,,,,
Picobirnavirus turkey/USA-1512/2010,0,Picobirnavirus turkey/USA-1512/2010,,,,
Picornavirales sp.,,Picornavirales sp.,GCF_013086155.1,8422.0,45.5,1
Picornaviridae sp.,GCF_003389975.1,Picornaviridae sp.,GCF_003389975.1,7443.0,42,1
Picornavirus chicken/CHK1/USA/2010,0,Picornavirus chicken/CHK1/USA/2010,,,,
Picornavirus chicken/CHK148/USA/2010,0,Picornavirus chicken/CHK148/USA/2010,,,,
Picornavirus chicken/CHK165/USA/2010,0,Picornavirus chicken/CHK165/USA/2010,,,,
Picornavirus chicken/CHK168/USA/2010,0,Picornavirus chicken/CHK168/USA/2010,,,,
Picornavirus chicken/CHK175/USA/2010,0,Picornavirus chicken/CHK175/USA/2010,,,,
Picornavirus turkey/TRK22/USA/2010,0,Picornavirus turkey/TRK22/USA/2010,,,,
Picornavirus turkey/TRK24/USA/2010,0,Picornavirus turkey/TRK24/USA/2010,,,,
Picornavirus turkey/TRK90/USA/2010,0,Picornavirus turkey/TRK90/USA/2010,,,,
Picornavirus turkey/TRK91/USA/2010,0,Picornavirus turkey/TRK91/USA/2010,,,,
Pigeon adenovirus,,Pigeon adenovirus,,,,
Pigeon adenovirus 2a,0,Pigeon adenovirus 2a,GCA_006436595.1,31314.0,49,
Pigeon adenovirus 2b,0,Pigeon adenovirus 2b,,,,
Pigeon adenovirus 3,0,Pigeon adenovirus 3,,,,
Pigeon adenovirus 4,0,Pigeon adenovirus 4,,,,
Pigeon adenovirus 5,0,Pigeon adenovirus 5,,,,
Pigeon adenovirus FJ2017,0,Pigeon adenovirus FJ2017,,,,
Pigeon astrovirus,,Pigeon astrovirus,,,,
Pigeon aviadenovirus A,GCF_000921315.1,Pigeon aviadenovirus A,GCF_000921315.1,45480.0,64,37
Pigeon aviadenovirus B,GCF_001831345.1,Pigeon aviadenovirus B,GCF_001831345.1,41981.0,48.5,35
Pigeon coronavirus UAE-HKU29,0,Pigeon coronavirus UAE-HKU29,GCA_031171245.1,26155.0,39.5,10
Pigeon gyrovirus,,Pigeon gyrovirus,GCA_031232875.1,2573.0,54,2
Pigeon parvovirus A,GCF_018580195.1,Pigeon parvovirus A,GCF_018580195.1,5492.0,52,4
Pigeon picornavirus A,0,Pigeon picornavirus A,,,,
Pigeon picornavirus B,GCF_000892795.1,Pigeon picornavirus B,GCF_000892795.1,7801.0,46,1
Pigeon-dominant Coronavirus,,Pigeon-dominant Coronavirus,,,,
Pigeonpox virus,GCF_000922075.1,Pigeonpox virus,GCF_000922075.1,282356.0,29.5,271
Pileated finch aveparvovirus,GCF_029884085.1,Pileated finch aveparvovirus,GCF_029884085.1,5368.0,44,3
Pin virus,,Pin virus,,,,
Pingu picornavirus,GCF_018583705.1,Pingu picornavirus,GCF_018583705.1,7601.0,49,1
Pink-eared duck avastrovirus,0,Pink-eared duck avastrovirus,,,,
Pink-eared duck calicivirus I,0,Pink-eared duck calicivirus I,,,,
Pink-eared duck calicivirus II,0,Pink-eared duck calicivirus II,,,,
Pink-eared duck megrivirus,0,Pink-eared duck megrivirus,,,,
Pink-eared duck picobirnavirus,0,Pink-eared duck picobirnavirus,,,,
Pink-eared duck picornavirus,0,Pink-eared duck picornavirus,,,,
Plum headed parakeet adenovirus 1,0,Plum headed parakeet adenovirus 1,,,,
Podargid alphaherpesvirus 1,0,Podargid alphaherpesvirus 1,,,,
Poecivirus A,GCF_003085835.1,Poecivirus A,GCF_003085835.1,7653.0,43.5,1
Poecivirus NOCR-674,0,Poecivirus NOCR-674,,,,
Poecivirus NOCR-848,0,Poecivirus NOCR-848,,,,
Poecivirus RBNH-12,0,Poecivirus RBNH-12,,,,
Poecivirus RBNH-929,0,Poecivirus RBNH-929,,,,
Poecivirus sp.,,Poecivirus sp.,,,,
Poicephalus senegalus papillomavirus,,Poicephalus senegalus papillomavirus,,,,
Polyomavirus erythrura5304,,Polyomavirus erythrura5304,,,,
Polyomavirus erythrura5362,,Polyomavirus erythrura5362,,,,
Polyomavirus odontophorus5057,,Polyomavirus odontophorus5057,,,,
Polyomavirus phylloscopus4708,,Polyomavirus phylloscopus4708,,,,
Polyomavirus phylloscopus4853,,Polyomavirus phylloscopus4853,,,,
Polyomavirus prunella5215,,Polyomavirus prunella5215,,,,
Polyomavirus pteridophora5384,,Polyomavirus pteridophora5384,,,,
Polyomavirus saxicola5252a,,Polyomavirus saxicola5252a,,,,
Polyomavirus sericulus5319,,Polyomavirus sericulus5319,,,,
Polyomavirus taeniopygia5555,,Polyomavirus taeniopygia5555,,,,
Polyomavirus zonotrichia5422,,Polyomavirus zonotrichia5422,,,,
Porcine epidemic diarrhea virus,,Porcine epidemic diarrhea virus,GCF_000848685.1,28033.0,42,6
Porprismacovirus avias1,GCF_018587855.1,Porprismacovirus avias1,GCF_018587855.1,2546.0,48,2
Porprismacovirus chicas2,GCF_018589255.1,Porprismacovirus chicas2,GCF_018589255.1,2534.0,49,2
Porprismacovirus chicas3,GCF_018589375.1,Porprismacovirus chicas3,GCF_018589375.1,2528.0,50,2
Porprismacovirus chicas4,GCF_018589325.1,Porprismacovirus chicas4,GCF_018589325.1,2532.0,49,2
Porprismacovirus chicas5,GCF_018589385.1,Porprismacovirus chicas5,GCF_018589385.1,2419.0,52.5,2
Porprismacovirus chicas6,GCF_018589355.1,Porprismacovirus chicas6,GCF_018589355.1,2442.0,50,2
Porprismacovirus chicas7,GCF_018589365.1,Porprismacovirus chicas7,GCF_018589365.1,2608.0,47,2
Porprismacovirus turas1,GCF_000918075.1,Porprismacovirus turas1,GCF_000918075.1,2479.0,52,2
Powell virus,0,Powell virus,,,,
Protoparvovirus HK-2014,0,Protoparvovirus HK-2014,,,,
Protoparvovirus Udayana_MDPVA,0,Protoparvovirus Udayana_MDPVA,,,,
Protoparvovirus Udayana_MDPVB,0,Protoparvovirus Udayana_MDPVB,,,,
Protoparvovirus sp.,,Protoparvovirus sp.,GCA_031166105.1,5046.0,47,
Prunella montanella CRESS-DNA-virus sp.,,Prunella montanella CRESS-DNA-virus sp.,,,,
Prunella montanella Genomoviridae sp.,,Prunella montanella Genomoviridae sp.,,,,
Psittacid alphaherpesvirus 6,,Psittacid alphaherpesvirus 6,,,,
Psittacid herpesvirus 3,0,Psittacid herpesvirus 3,,,,
Psittacidae CRESS-DNA-virus sp.,,Psittacidae CRESS-DNA-virus sp.,,,,
Psittacidae Chaphamaparvovirus,,Psittacidae Chaphamaparvovirus,,,,
Psittacidae aveparvovirus,,Psittacidae aveparvovirus,,,,
Psittacidae dependoparvovirus,,Psittacidae dependoparvovirus,,,,
Psittacidae parvo-like hybrid virus,,Psittacidae parvo-like hybrid virus,,,,
Psittacidae parvoviridae sp.,,Psittacidae parvoviridae sp.,,,,
Psittaciform aveparvovirus,,Psittaciform aveparvovirus,,,,
Psittaciform chaphamaparvovirus 3,,Psittaciform chaphamaparvovirus 3,GCA_031311285.1,4277.0,43,
Psittaciform chaphamaparvovirus 4,,Psittaciform chaphamaparvovirus 4,,,,
Psittaciform chaphamaparvovirus 5,,Psittaciform chaphamaparvovirus 5,,,,
Psittaciform chaphamaparvovirus 6,,Psittaciform chaphamaparvovirus 6,,,,
Psittaciform parvoviridae sp.,,Psittaciform parvoviridae sp.,,,,
Psittacine adenovirus 12,,Psittacine adenovirus 12,,,,
Psittacine adenovirus 2,,Psittacine adenovirus 2,GCA_020842125.1,25616.0,37,
Psittacine atadenovirus A,GCF_000929035.1,Psittacine atadenovirus A,GCF_000929035.1,31735.0,53.5,29
Psittacine aviadenovirus B,GCF_003032855.1,Psittacine aviadenovirus B,GCF_003032855.1,40930.0,52,42
Psittacine aviadenovirus C,GCF_006425375.1,Psittacine aviadenovirus C,GCF_006425375.1,38694.0,51.5,55
Psittacine chaphamaparvovirus 2,,Psittacine chaphamaparvovirus 2,GCA_031308385.1,4312.0,41.5,
Psittacine orthoreovirus AGPReo1983,0,Psittacine orthoreovirus AGPReo1983,,,,
Psittacine picornavirus,,Psittacine picornavirus,,,,
Psittacine siadenovirus 1,0,Psittacine siadenovirus 1,GCA_031201985.1,27162.0,37,
Psittacine siadenovirus D,GCF_018586905.1,Psittacine siadenovirus D,GCF_018586905.1,27163.0,37,21
Psittacine siadenovirus E,GCF_018584825.1,Psittacine siadenovirus E,GCF_018584825.1,27209.0,37.5,24
Psittacine siadenovirus F,,Psittacine siadenovirus F,GCA_031268895.1,25392.0,37,
Ptolmey virus,0,Ptolmey virus,,,,
Puffin papillomavirus 1,0,Puffin papillomavirus 1,GCA_031189375.1,7703.0,56.5,7
Purple grenadier circovirus,,Purple grenadier circovirus,,,,
Pygoscepivirus A,0,Pygoscepivirus A,,,,
Quail coronavirus Italy/Elvia/2005,0,Quail coronavirus Italy/Elvia/2005,,,,
Quail coronavirus UAE-HKU30,0,Quail coronavirus UAE-HKU30,GCA_031171235.1,25874.0,42.5,9
Quail deltacoronavirus,0,Quail deltacoronavirus,GCA_031174035.1,25881.0,42,
Quail picornavirus QPV1/HUN/2010,GCF_000895635.1,Quail picornavirus QPV1/HUN/2010,GCF_000895635.1,8159.0,45.5,1
Quailpox virus,GCF_002829285.1,Quailpox virus,GCF_002829285.1,581.0,33.5,1
Quang Binh virus,,Quang Binh virus,GCA_031123885.1,10891.0,52,
Quaranjavirus chadense,GCF_016848445.1,Quaranjavirus chadense,GCF_016848445.1,11987.0,46.5,7
Quaranjavirus wellfleetense,GCF_000927955.1,Quaranjavirus wellfleetense,GCF_000927955.1,11958.0,43.5,7
RNA virus hoopoe/BBanka01/2015/HUN,0,RNA virus hoopoe/BBanka01/2015/HUN,GCA_031199605.1,7052.0,36,
RNA virus sp.,0,RNA virus sp.,,,,
Raina virus,0,Raina virus,,,,
Raptor adenovirus,,Raptor adenovirus,,,,
Raptor siadenovirus A,GCF_000893535.1,Raptor siadenovirus A,GCF_000893535.1,26284.0,38.5,23
Red-billed gull papillomavirus,,Red-billed gull papillomavirus,,,,
Red-capped plover megrivirus,0,Red-capped plover megrivirus,,,,
Red-fronted serin circovirus,,Red-fronted serin circovirus,,,,
Red-necked stint Picornavirus B-like,0,Red-necked stint Picornavirus B-like,,,,
Red-necked stint avastrovirus,0,Red-necked stint avastrovirus,,,,
Red-necked stint gallivirus,0,Red-necked stint gallivirus,,,,
Reoviridae sp.,,Reoviridae sp.,GCA_031191825.1,4297.0,43.5,
Reovirus sp.,0,Reovirus sp.,,,,
Reticuloendotheliosis virus,GCF_000858025.1,Reticuloendotheliosis virus,GCF_000858025.1,8295.0,52.5,3
Retroviridae sp.,,Retroviridae sp.,,,,
Rhabdoviridae sp.,GCF_029886045.1,Rhabdoviridae sp.,GCF_029886045.1,12485.0,41.5,6
Riboviria sp.,,Riboviria sp.,,,,
Riiser virus,0,Riiser virus,,,,
Rockhopper penguin papillomavirus,,Rockhopper penguin papillomavirus,,,,
Ross River virus,0,Ross River virus,GCF_002889255.1,11948.0,51,2
Ross virus,0,Ross virus,,,,
Rotavirus A,,Rotavirus A,GCF_000880735.1,18562.0,33.5,12
Rotavirus D,GCF_000890155.1,Rotavirus D,GCF_000890155.1,18500.0,33,12
Rotavirus F,GCF_000910335.1,Rotavirus F,GCF_000910335.1,18341.0,34.5,11
Rotavirus G,GCF_001343825.1,Rotavirus G,GCF_001343825.1,18186.0,35,12
Rotavirus sp.,,Rotavirus sp.,,,,
Rotavirus turkey/MN/D-000818/2008,0,Rotavirus turkey/MN/D-000818/2008,,,,
Rotavirus turkey/MN/D-004782/2008,0,Rotavirus turkey/MN/D-004782/2008,,,,
Rotavirus turkey/MN/D-005329/2008,0,Rotavirus turkey/MN/D-005329/2008,,,,
Rotavirus turkey/MN/D-005331/2008,0,Rotavirus turkey/MN/D-005331/2008,,,,
Rotavirus turkey/MN/D-007553/2007,0,Rotavirus turkey/MN/D-007553/2007,,,,
Rotavirus turkey/MN/D-007554/2007,0,Rotavirus turkey/MN/D-007554/2007,,,,
Rotavirus turkey/MN/D-007555/2007,0,Rotavirus turkey/MN/D-007555/2007,,,,
Rotavirus turkey/MN/D-007861/2007,0,Rotavirus turkey/MN/D-007861/2007,,,,
Rotavirus turkey/MN/D-007862/2007,0,Rotavirus turkey/MN/D-007862/2007,,,,
Rotavirus turkey/MN/D-007863/2007,0,Rotavirus turkey/MN/D-007863/2007,,,,
Rotavirus turkey/MN/D-016170/2008,0,Rotavirus turkey/MN/D-016170/2008,,,,
Rotavirus turkey/MN/D-016171/2008,0,Rotavirus turkey/MN/D-016171/2008,,,,
Rotavirus turkey/MN/D-022564/2008,0,Rotavirus turkey/MN/D-022564/2008,,,,
Rotavirus turkey/MN/D-022565/2008,0,Rotavirus turkey/MN/D-022565/2008,,,,
Rotavirus turkey/MN/D-035365/2007,0,Rotavirus turkey/MN/D-035365/2007,,,,
Rotavirus turkey/MN/D-046159/2007,0,Rotavirus turkey/MN/D-046159/2007,,,,
Rotavirus turkey/MN/D-047428/2008,0,Rotavirus turkey/MN/D-047428/2008,,,,
Rotavirus turkey/MN/D-048814/2008,0,Rotavirus turkey/MN/D-048814/2008,,,,
Rotavirus turkey/MN/D-049007/2007,0,Rotavirus turkey/MN/D-049007/2007,,,,
Rotavirus turkey/MN/D-049317/2007,0,Rotavirus turkey/MN/D-049317/2007,,,,
Rotavirus turkey/MN/D-052725/2007,0,Rotavirus turkey/MN/D-052725/2007,,,,
Rotavirus turkey/MN/D-053540/2007,0,Rotavirus turkey/MN/D-053540/2007,,,,
Rotavirus turkey/MN/D-053578/2007,0,Rotavirus turkey/MN/D-053578/2007,,,,
Rotavirus turkey/MN/D-053706/2007,0,Rotavirus turkey/MN/D-053706/2007,,,,
Rotavirus turkey/MN/D-053853/2007,0,Rotavirus turkey/MN/D-053853/2007,,,,
Rotavirus turkey/MN/D-054413/2007,0,Rotavirus turkey/MN/D-054413/2007,,,,
Rotavirus turkey/MN/D-055423/2007,0,Rotavirus turkey/MN/D-055423/2007,,,,
Rotavirus turkey/MN/D-055431/2008,0,Rotavirus turkey/MN/D-055431/2008,,,,
Rotavirus turkey/MN/D-055471/2008,0,Rotavirus turkey/MN/D-055471/2008,,,,
Rotavirus turkey/MN/D-056058/2007,0,Rotavirus turkey/MN/D-056058/2007,,,,
Rotavirus turkey/MN/D-056826/2007,0,Rotavirus turkey/MN/D-056826/2007,,,,
Rotavirus turkey/MN/D-058211/2007,0,Rotavirus turkey/MN/D-058211/2007,,,,
Rotavirus turkey/MN/D-058212/2007,0,Rotavirus turkey/MN/D-058212/2007,,,,
Rotavirus turkey/MN/D-058648/2007,0,Rotavirus turkey/MN/D-058648/2007,,,,
Rotavirus turkey/MN/D-059191/2007,0,Rotavirus turkey/MN/D-059191/2007,,,,
Rotavirus turkey/MN/D-059867/2008,0,Rotavirus turkey/MN/D-059867/2008,,,,
Rotavirus turkey/MN/D-22852/2007,0,Rotavirus turkey/MN/D-22852/2007,,,,
Rous sarcoma virus,,Rous sarcoma virus,GCF_000855425.1,9392.0,54,4
Ruddy turnstone astrovirus,0,Ruddy turnstone astrovirus,,,,
Ruddy turnstone calicivirus,0,Ruddy turnstone calicivirus,,,,
Ruddy turnstone calicivirus A,0,Ruddy turnstone calicivirus A,,,,
Ruddy turnstone calicivirus B,0,Ruddy turnstone calicivirus B,,,,
Ruddy turnstone rotavirus,0,Ruddy turnstone rotavirus,,,,
Rymill virus,0,Rymill virus,,,,
Rynchops niger coronavirus,0,Rynchops niger coronavirus,,,,
Salmonella phage DaR-2019a,0,Salmonella phage DaR-2019a,GCA_006083255.1,89091.0,39,146
Salmonella phage DaR-2019b,0,Salmonella phage DaR-2019b,GCA_006083295.1,88966.0,39,148
Salmonella phage SP1a,0,Salmonella phage SP1a,GCA_002924565.1,111184.0,39,
Sapelovirus sp.,,Sapelovirus sp.,,,,
Schouten virus,0,Schouten virus,,,,
Scott virus,0,Scott virus,,,,
Sedov virus,0,Sedov virus,,,,
Senko virus,0,Senko virus,,,,
Serdyukov virus,0,Serdyukov virus,,,,
Serinus canaria papillomavirus 1,GCF_004131485.1,Serinus canaria papillomavirus 1,GCF_004131485.1,8071.0,49.5,8
